locationID,entryDate,maxTemp,minTemp,daylightDuration,sunlightDuration,rainInches,snowInches,precipitationHours,windGusts,averageTemp,cloudCover,averageWindSpeed,averageHumidity
0,2021-05-01,63.1,42.7,50191.77,49206.22,0.000,0.000,0.0,48.8,51.7,22,16.8,50
0,2021-05-02,79.4,53.7,50328.77,43324.01,0.008,0.000,1.0,28.6,63.9,56,11.6,44
0,2021-05-03,74.3,53.2,50464.07,7884.06,0.004,0.000,1.0,32.4,58.8,97,7.8,76
0,2021-05-04,64.9,51.9,50597.50,39911.18,0.173,0.000,11.0,24.8,57.0,96,7.7,93
0,2021-05-05,56.0,52.3,50728.95,2855.45,0.268,0.000,12.0,29.8,54.0,100,7.0,97
0,2021-05-06,62.9,49.2,50858.26,44872.23,0.012,0.000,1.0,32.4,55.8,30,11.4,66
0,2021-05-07,57.7,48.6,50985.29,41295.58,0.000,0.000,0.0,25.7,53.6,74,7.6,65
0,2021-05-08,52.9,48.7,51110.07,12890.80,0.189,0.000,12.0,26.2,50.6,87,6.1,85
0,2021-05-09,61.5,44.5,51233.60,28800.00,0.043,0.000,3.0,23.0,51.5,60,8.2,76
0,2021-05-10,59.3,47.9,51355.94,28660.17,0.240,0.000,9.0,36.2,52.8,97,9.5,82
0,2021-05-11,62.1,49.4,51476.98,43740.85,0.000,0.000,0.0,28.6,54.9,54,8.6,61
0,2021-05-12,63.8,43.3,51596.61,49291.41,0.000,0.000,0.0,26.8,53.9,19,9.2,56
0,2021-05-13,63.8,49.0,51714.71,50287.16,0.000,0.000,0.0,17.4,56.7,5,6.6,56
0,2021-05-14,68.5,48.9,51831.18,50345.14,0.000,0.000,0.0,18.3,58.5,1,6.1,56
0,2021-05-15,68.4,52.0,51945.87,50400.00,0.000,0.000,0.0,20.1,60.5,16,6.6,55
0,2021-05-16,69.7,49.7,52058.68,31289.54,0.000,0.000,0.0,17.2,61.0,65,5.0,55
0,2021-05-17,69.6,53.8,52169.47,46800.00,0.000,0.000,0.0,22.1,61.4,27,6.1,62
0,2021-05-18,75.9,55.5,52278.12,50400.00,0.000,0.000,0.0,19.9,65.1,17,8.1,53
0,2021-05-19,81.5,59.2,52384.52,50400.00,0.000,0.000,0.0,25.1,70.5,3,8.4,48
0,2021-05-20,69.4,57.5,52488.50,50400.00,0.000,0.000,0.0,24.6,62.5,58,8.3,66
0,2021-05-21,69.9,52.6,52589.96,50400.00,0.000,0.000,0.0,28.6,61.4,13,6.8,70
0,2021-05-22,86.4,64.0,52688.77,42702.89,0.000,0.000,0.0,25.3,73.4,75,7.5,54
0,2021-05-23,86.8,68.5,52784.77,46800.00,0.000,0.000,0.0,28.9,77.7,60,9.4,56
0,2021-05-24,78.6,58.6,52877.83,32570.56,0.004,0.000,1.0,34.2,64.4,79,11.3,62
0,2021-05-25,69.8,56.8,52967.82,39291.47,0.000,0.000,0.0,33.8,62.1,84,8.6,64
0,2021-05-26,80.7,63.3,53054.60,50400.00,0.004,0.000,1.0,28.9,70.9,46,9.5,77
0,2021-05-27,81.8,66.9,53138.02,48650.29,0.421,0.000,5.0,25.9,72.8,44,9.3,73
0,2021-05-28,68.9,55.1,53218.07,28800.00,0.209,0.000,6.0,38.5,61.6,65,12.6,69
0,2021-05-29,55.8,48.8,53295.45,0.00,1.445,0.000,24.0,49.2,51.6,100,20.6,90
0,2021-05-30,54.1,50.0,53370.19,0.00,0.650,0.000,24.0,39.6,51.7,100,16.6,90
